;;Properties:;J-kg-K;;;;;;;;;;;;;;;;;;;;;;;;;Composition:;mol/kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   p;   T;   v;   S;   I;   U;   M;  Cp;   k; Cp';  k';  Ap;  Bv;  Gt; MMg;  Rg; Cpg;  kg;Cp'g; k'g;  Mu;  Lt; Lt';  Pr; Pr';   A;   z;  Bm;O;O2;H;H2;OH;HO2;H2O;H2O2;Cl;Cl2;ClO;ClO2;Cl2O;HCl;HOCl;N;N2;N3;NO;NO2;N2O;N2O3;NH;NH2;NH3;N2H2;N2H4;HN3;HNO;HNO2;HNO3;NH3O;N2H2O2;ClNO;ClNO2;C;C2;C3;CO;CO2;C2O;C3O2;CH;CH2;CH3;CH4;C2H;C2H2;C2H3;C2H4;C2H5;C3H;CHO;CHO2;CH2O;CH2O2;CH3O;CH4O;C2H4O2;CCl;CCl2;CCl3;C2Cl;C2Cl2;ClCO;Cl2CO;CHCl;CH2Cl;CH3Cl;CHCl2;CH2Cl2;CHCl3;C2HCl;C2H3Cl;HClCO;CN;CN2;C2N;C2N2;NCO;HCN;HNC;C2HN;C3HN;N2C;ClCN;Al;Al2;AlO2;Al2O;Al2O2;Al2O3(c);Al2O3;AlH;AlH2;AlH3;AlOH;HAlO;HAlO2;AlO2H2;AlO3H3;AlCl;AlCl2;AlCl3;Al2Cl6;AlOCl;AlOCl2;AlHCl;AlH2Cl;AlHCl2;AlOHCl;AlO2H2Cl;AlOHCl2;AlN;AlC;AlC2;Al2C2;O3;e-;O+;O-;O2+;O2-;H+;H-;H2+;H3+;OH+;OH-;HO2-;H2O+;H3O+;Cl-;N2+;NO+;NO2+;NO2-;NO3-;NH+;NH4+;C-;C2-;CO+;CO2+;CHO+;CN-;Al+;AlO-;AlO2-;AlO
0.1;3280.69;9.68635;10.5473;-527.6;-1408.21;38.5538;1.78797;1.1978;9.58628;1.17431;0.0006983;0.0006552;0.0000109;19.4243;428.04;1.87356;1.29612;8.70279;1.19773;0.0000851;0.34002;2.87952;0.469043;0.257268;1033.09;0.310219;0.0419071;0.328056;0.040637;5.21986;6.33117;0.671021;0.00004;2.03077;1.78358E-06;0.311597;0.0000124;0.0000869;4.27721E-10;2.85242E-11;0.567621;0.0000126;0.0012468;8.24125;2.68083E-10;0.0927902;3.35885E-06;2.91716E-06;1.00103E-14;0.0003254;0.0000272;7.41187E-06;7.7196E-10;6.56579E-15;3.42068E-11;0.0000191;1.68272E-07;1.15314E-12;5.08256E-11;1.94801E-17;1.97561E-07;5.79176E-13;1.09434E-07;4.96911E-13;2.527E-17;10.3955;0.41858;1.60877E-09;8.70419E-14;1.35903E-08;6.48517E-09;4.40176E-09;3.78843E-10;8.9972E-12;2.43482E-11;9.20374E-15;3.80245E-16;1.23429E-19;5.15017E-16;0.0000896;5.10865E-06;7.75542E-07;2.02888E-07;4.07871E-12;8.48018E-16;1.65054E-18;3.96632E-09;1.15541E-12;2.69966E-17;1.17406E-14;4.23561E-17;1.20142E-06;2.6451E-11;1.26473E-10;4.38931E-11;1.16034E-12;1.75355E-13;2.08318E-15;3.93766E-18;6.19195E-14;3.69984E-18;1.05271E-08;1.29111E-06;1.88251E-09;7.17737E-13;6.34231E-13;1.61019E-07;0.0000133;5.35283E-08;5.0336E-14;1.42412E-16;6.46602E-08;8.46499E-09;0.149649;3.9858E-06;0.0007103;0.0939256;0.0036722;3.04252;0.000017;0.0047726;0.0000102;2.76592E-09;0.198316;0.0000386;0.0013797;0.0025888;2.99922E-06;0.205604;0.002082;4.40238E-06;7.70001E-18;0.0118271;9.00321E-06;0.0002869;7.88108E-08;1.33567E-06;0.0047195;0.0000161;0.0000258;0.0000317;1.19615E-09;6.48325E-14;6.46408E-16;2.88802E-11;0.0002708;9.76478E-15;7.2332E-07;5.81408E-13;7.86629E-09;1.81065E-13;6.9837E-07;4.21607E-15;3.9903E-13;5.39993E-13;1.95921E-06;2.07058E-10;1.10899E-11;6.90832E-10;0.0003844;1.16585E-15;5.55637E-09;7.05289E-15;1.70553E-10;5.69974E-15;3.75824E-16;9.68993E-14;8.10303E-14;1.06023E-15;3.21318E-13;1.37357E-13;1.90347E-10;8.07595E-09;0.0008855;0.0002247;2.28679E-06;0.179031
0.25;3401.88;3.96425;10.2785;-527.6;-1431.81;38.0688;1.78979;1.19442;8.36629;1.17112;0.0006262;0.0005912;4.3263E-06;19.7236;421.545;1.87567;1.2899;7.47505;1.19928;0.0000872;0.34561;2.50134;0.473004;0.260458;1046.79;0.308904;0.042116;0.258388;0.0326429;4.50578;6.54571;0.64024;0.0000525;2.15611;3.13201E-06;0.271741;0.0000171;0.0001046;7.39627E-10;6.21563E-11;0.596669;0.0000193;0.0014726;8.24059;7.682E-10;0.0935922;4.52081E-06;4.72512E-06;3.35499E-14;0.0005161;0.0000573;0.0000185;2.74312E-09;5.16585E-14;1.31741E-10;0.0000321;3.1779E-07;2.92359E-12;2.00152E-10;1.0946E-16;3.59789E-07;1.43745E-12;2.30067E-07;2.50421E-12;2.61751E-16;10.3949;0.419071;5.79021E-09;5.54357E-13;3.93885E-08;2.28972E-08;1.83639E-08;1.96667E-09;5.04511E-11;1.47947E-10;9.28404E-14;4.77729E-15;2.6785E-18;6.14079E-15;0.000177;0.0000104;2.04365E-06;5.48599E-07;2.05204E-11;6.85523E-15;2.24736E-17;1.07303E-08;4.43657E-12;1.62129E-16;7.12526E-14;3.3334E-16;2.55099E-06;8.18012E-11;4.6818E-10;2.04443E-10;6.76346E-12;8.98701E-13;1.39037E-14;3.20778E-17;4.26556E-13;5.21172E-17;3.00091E-08;2.99191E-06;6.73383E-09;4.33277E-12;4.22057E-12;3.81643E-07;0.0000336;1.68012E-07;4.12297E-13;1.97756E-15;2.04142E-07;2.48814E-08;0.136203;6.77804E-06;0.0007691;0.098762;0.0039332;3.02962;0.0000219;0.0063238;0.0000218;9.18075E-09;0.225865;0.000058;0.0016938;0.0042833;6.97023E-06;0.211013;0.0029187;8.02341E-06;5.85435E-17;0.0126858;0.0000149;0.0004955;2.1383E-07;2.97788E-06;0.0072258;0.0000343;0.0000508;0.0000536;3.60052E-09;4.03508E-13;5.21754E-15;5.03935E-11;0.0002244;2.22736E-14;9.08319E-07;1.11077E-12;1.14928E-08;4.52174E-13;1.05141E-06;1.61293E-14;1.45304E-12;1.36869E-12;2.84498E-06;4.14635E-10;3.01793E-11;1.83649E-09;0.0004063;4.3631E-15;9.35401E-09;1.70104E-14;3.25226E-10;1.36245E-14;1.62659E-15;4.97371E-13;2.77992E-13;6.54854E-15;9.79488E-13;4.1069E-13;5.45506E-10;2.20295E-08;0.0008924;0.000254;2.82461E-06;0.166934
0.4;3465.13;2.50626;10.1421;-527.6;-1443.85;37.8243;1.79107;1.19265;7.76974;1.1694;0.0005909;0.0005597;2.69395E-06;19.8669;418.502;1.87744;1.28686;6.9012;1.20028;0.0000882;0.348708;2.32828;0.474934;0.261469;1053.81;0.308696;0.0421245;0.225128;0.0286522;4.15396;6.65544;0.618652;0.0000592;2.21622;4.11875E-06;0.251885;0.0000201;0.0001135;9.57078E-10;9.11997E-11;0.611879;0.0000237;0.0015851;8.24074;1.30433E-09;0.0929505;5.16724E-06;5.98543E-06;6.05901E-14;0.0006483;0.0000836;0.0000296;5.22923E-09;1.4842E-13;2.61208E-10;0.0000414;4.3324E-07;4.59977E-12;4.00428E-10;2.60472E-16;4.83202E-07;2.24404E-12;3.33002E-07;5.69649E-12;8.67219E-16;10.3954;0.418505;1.11312E-08;1.43813E-12;6.74139E-08;4.35802E-08;3.8302E-08;4.61554E-09;1.22097E-10;3.75924E-10;3.05694E-13;1.76938E-14;1.31124E-17;2.20133E-14;0.00025;0.000015;3.3589E-06;9.1141E-07;4.68515E-11;1.9961E-14;8.61572E-17;1.77538E-08;8.81008E-12;4.05337E-16;1.79332E-13;9.63089E-16;3.73567E-06;1.45633E-10;9.12889E-10;4.50432E-10;1.68007E-11;2.07671E-12;3.69429E-14;9.42396E-17;1.15347E-12;2.04337E-16;5.12986E-08;4.58501E-06;1.29034E-08;1.08723E-11;1.12173E-11;5.90004E-07;0.0000541;3.01752E-07;1.21403E-12;7.71348E-15;3.6774E-07;4.32836E-08;0.127951;8.68607E-06;0.0007837;0.0995718;0.0039929;3.02758;0.0000244;0.0072173;0.0000318;1.67905E-08;0.238619;0.0000704;0.0018529;0.0054799;0.0000106;0.2123;0.0034574;0.0000109;1.66448E-16;0.0130161;0.0000191;0.0006505;3.54121E-07;4.4773E-06;0.0089183;0.0000502;0.0000716;0.000069;6.23488E-09;1.0204E-12;1.50307E-14;6.49241E-11;0.0002004;3.2957E-14;9.92313E-07;1.50201E-12;1.34983E-08;7.076E-13;1.27054E-06;3.14457E-14;2.78829E-12;2.15241E-12;3.36872E-06;5.74101E-10;4.96023E-11;3.01021E-09;0.0004125;8.41407E-15;1.20159E-08;2.60482E-14;4.39575E-10;2.05482E-14;3.36964E-15;1.15162E-12;5.10322E-13;1.64042E-14;1.70626E-12;7.07173E-13;9.3018E-10;3.64257E-08;0.0008854;0.0002638;3.05867E-06;0.158404
0.55;3508.27;1.83674;10.0501;-527.6;-1451.96;37.6609;1.79207;1.19144;7.37919;1.16822;0.0005677;0.000539;1.95417E-06;19.9595;416.562;1.87891;1.28486;6.53421;1.20105;0.0000889;0.350899;2.2072;0.476194;0.263276;1058.55;0.308747;0.0420903;0.203735;0.0260299;3.92174;6.72986;0.601852;0.0000638;2.25493;4.92747E-06;0.23868;0.0000223;0.0001191;1.12852E-09;1.1744E-10;0.622287;0.0000271;0.0016579;8.24105;1.85868E-09;0.0920777;5.6122E-06;6.99266E-06;8.93182E-14;0.0007539;0.0001078;0.0000407;8.07831E-09;3.03089E-13;4.14068E-10;0.000049;5.30804E-07;6.18975E-12;6.37996E-10;4.65002E-16;5.8691E-07;3.00765E-12;4.2576E-07;9.90887E-12;1.95155E-15;10.396;0.417767;1.73074E-08;2.74756E-12;9.66778E-08;6.73046E-08;6.30958E-08;8.25608E-09;2.22159E-10;7.09224E-10;6.87209E-13;4.31683E-14;3.86248E-17;5.23998E-14;0.0003154;0.0000191;4.70318E-06;1.28411E-06;8.18613E-11;4.11247E-14;2.1456E-16;2.48975E-08;1.39975E-11;7.5301E-16;3.3487E-13;1.97843E-15;4.8274E-06;2.15039E-10;1.43296E-09;7.6948E-10;3.1196E-11;3.66177E-12;7.17296E-14;1.95692E-16;2.26774E-12;5.17724E-16;7.37295E-08;6.11186E-06;2.00184E-08;2.02594E-11;2.18005E-11;7.90217E-07;0.0000749;4.48487E-07;2.52479E-12;1.94927E-14;5.47646E-07;6.29974E-08;0.121927;0.0000102;0.0007864;0.0994067;0.0040004;3.02808;0.0000259;0.0078538;0.0000408;2.51555E-08;0.246472;0.0000796;0.0019565;0.0064437;0.0000141;0.212546;0.0038718;0.0000135;3.38473E-16;0.0131885;0.0000226;0.0007797;4.96887E-07;5.89395E-06;0.0102513;0.0000647;0.0000903;0.0000813;8.98404E-09;1.90526E-12;3.06198E-14;7.60275E-11;0.0001843;4.24017E-14;1.04134E-06;1.81872E-12;1.48442E-08;9.49436E-13;1.43239E-06;4.89907E-14;4.31497E-12;2.8944E-12;3.74304E-06;7.06689E-10;6.89512E-11;4.19322E-09;0.0004144;1.30136E-14;1.41332E-08;3.43834E-14;5.32527E-10;2.67406E-14;5.46405E-15;2.03407E-12;7.62338E-13;3.03676E-14;2.46701E-12;1.01373E-12;1.33137E-09;5.0973E-08;0.000876;0.0002679;3.19051E-06;0.151821
0.7;3541.04;1.45143;9.98082;-527.6;-1458.06;37.5386;1.79291;1.19052;7.09145;1.16733;0.0005505;0.0005236;1.53234E-06;20.0269;415.16;1.88017;1.28339;6.26802;1.2017;0.0000895;0.352608;2.11798;0.47712;0.264808;1062.13;0.30889;0.0420425;0.188203;0.0241004;3.74936;6.78631;0.588005;0.0000671;2.28302;5.62392E-06;0.228824;0.0000241;0.0001232;1.27136E-09;1.41668E-10;0.630218;0.00003;0.0017104;8.24139;2.42419E-09;0.0911747;5.94758E-06;7.84588E-06;1.18988E-13;0.0008435;0.0001305;0.0000519;1.12152E-08;5.20134E-13;5.85914E-10;0.0000555;6.16646E-07;7.70557E-12;9.05757E-10;7.17989E-16;6.77921E-07;3.73548E-12;5.1143E-07;1.50406E-11;3.60566E-15;10.3967;0.417007;2.41558E-08;4.48956E-12;1.26769E-07;9.34609E-08;9.21358E-08;1.28496E-08;3.49503E-10;1.14887E-09;1.27099E-12;8.50469E-14;8.774E-17;1.01179E-13;0.0003757;0.0000228;6.06868E-06;1.66372E-06;1.2482E-10;7.10403E-14;4.28649E-16;3.21089E-08;1.9854E-11;1.20255E-15;5.37071E-13;3.41444E-15;5.85483E-06;2.88676E-10;2.0143E-09;1.15447E-09;4.99134E-11;5.62498E-12;1.18647E-13;3.40394E-16;3.78788E-12;1.04909E-15;9.70062E-08;7.59024E-06;2.78923E-08;3.24394E-11;3.6101E-11;9.84224E-07;0.0000959;6.05277E-07;4.39688E-12;3.94412E-14;7.40184E-07;8.3713E-08;0.117167;0.0000114;0.0007844;0.0988828;0.0039875;3.02948;0.000027;0.0083494;0.0000491;3.40743E-08;0.251905;0.0000871;0.0020314;0.0072648;0.0000174;0.212379;0.0042145;0.0000158;5.79925E-16;0.0132887;0.0000255;0.0008926;6.41076E-07;7.25226E-06;0.0113707;0.0000783;0.0001076;0.0000918;1.18018E-08;3.04992E-12;5.23251E-14;8.50101E-11;0.0001723;5.092E-14;0.000001073;2.08651E-12;1.58277E-08;1.17974E-12;1.56123E-06;6.81829E-14;5.98878E-12;3.60022E-12;4.03334E-06;8.21247E-10;8.81109E-11;5.37901E-09;0.0004146;1.80131E-14;1.59132E-08;4.21577E-14;6.11545E-10;3.23694E-14;7.8336E-15;3.12913E-12;1.02718E-12;4.82398E-14;3.24767E-12;1.3253E-12;1.74361E-09;6.55723E-08;0.0008664;0.0002695;3.27259E-06;0.146447
0.85;3567.47;1.20075;9.92519;-527.6;-1462.94;37.441;1.79362;1.18978;6.8651;1.16661;0.000537;0.0005115;1.25986E-06;20.0794;414.074;1.88128;1.28222;6.06107;1.20226;0.0000899;0.354015;2.04775;0.477847;0.266152;1065;0.309072;0.0419902;0.17614;0.0225876;3.61283;6.83183;0.57618;0.0000698;2.3048;6.24107E-06;0.220982;0.0000257;0.0001263;1.39427E-09;1.64334E-10;0.636628;0.0000325;0.0017506;8.24173;2.99714E-09;0.0902946;6.21378E-06;8.59292E-06;1.49205E-13;0.0009221;0.0001521;0.000063;1.45933E-08;8.03092E-13;7.73946E-10;0.0000612;6.93977E-07;9.15714E-12;1.19919E-09;1.01564E-15;7.59812E-07;4.43281E-12;5.91702E-07;2.102E-11;5.90899E-15;10.3973;0.416265;3.15746E-08;6.66979E-12;1.57463E-07;1.21671E-07;1.2502E-07;1.83702E-08;5.03295E-10;1.69585E-09;2.08714E-12;1.47063E-13;1.70112E-16;1.71983E-13;0.0004323;0.0000264;7.45097E-06;2.0486E-06;1.75213E-10;1.10261E-13;7.48821E-16;3.93611E-08;2.6287E-11;1.75189E-15;7.85297E-13;5.29979E-15;6.83343E-06;3.65748E-10;2.64802E-09;1.60053E-09;7.29326E-11;7.94576E-12;1.78001E-13;5.31583E-16;5.72887E-12;1.85505E-15;1.20958E-07;9.03024E-06;3.64087E-08;4.73691E-11;5.42253E-11;1.17319E-06;0.000117;7.7036E-07;6.87329E-12;6.96825E-14;9.43148E-07;1.05247E-07;0.113225;0.0000125;0.0007802;0.0982068;0.0039652;3.03127;0.0000278;0.008755;0.0000569;4.34287E-08;0.255916;0.0000933;0.002089;0.0079871;0.0000205;0.212014;0.0045097;0.0000179;8.95156E-16;0.0133491;0.0000281;0.0009941;7.86152E-07;8.56559E-06;0.0123453;0.0000913;0.0001239;0.0001008;1.46637E-08;4.44752E-12;8.039E-14;9.25283E-11;0.0001628;5.87061E-14;1.09453E-06;2.31897E-12;1.65825E-08;1.40011E-12;1.66829E-06;8.86676E-14;7.78249E-12;4.27451E-12;4.2693E-06;9.22578E-10;1.07041E-10;6.56452E-09;0.000414;2.33228E-14;1.74585E-08;4.94677E-14;6.80554E-10;3.75449E-14;1.0429E-14;4.42574E-12;1.30102E-12;6.98587E-14;4.04082E-12;1.63936E-12;2.16391E-09;8.01773E-08;0.0008571;0.0002699;3.32612E-06;0.141898
1;3589.59;1.02449;9.87875;-527.6;-1467;37.3601;1.79425;1.18916;6.67943;1.16601;0.0005259;0.0005015;1.06939E-06;20.1221;413.195;1.88226;1.28127;5.89285;1.20276;0.0000903;0.355214;1.99705;0.478442;0.266425;1067.39;0.30927;0.0419369;0.166356;0.0213521;3.50015;6.86999;0.565836;0.0000719;2.32244;6.79833E-06;0.214485;0.0000271;0.0001288;1.50235E-09;1.85731E-10;0.642009;0.0000347;0.0017827;8.24207;3.57527E-09;0.0894529;6.43235E-06;9.26124E-06;1.79735E-13;0.0009926;0.0001728;0.0000742;1.81806E-08;1.15491E-12;9.76191E-10;0.0000664;7.64739E-07;1.05523E-11;1.5151E-09;1.35494E-15;8.34717E-07;5.10362E-12;6.67641E-07;2.77921E-11;8.93303E-15;10.398;0.415553;3.94929E-08;9.29303E-12;1.88619E-07;1.51674E-07;1.61454E-07;2.47992E-08;6.82873E-10;2.35107E-09;3.16335E-12;2.32873E-13;2.96404E-16;2.68268E-13;0.000486;0.0000298;8.8472E-06;2.43769E-06;2.32646E-10;1.59248E-13;1.19507E-15;4.66381E-08;3.32307E-11;2.39929E-15;1.07901E-12;7.65898E-15;7.77284E-06;4.45723E-10;3.32787E-09;2.104E-09;1.00242E-10;1.06083E-11;2.50047E-13;7.72026E-16;8.10342E-12;2.9922E-15;1.45473E-07;0.0000104;4.5487E-08;6.50124E-11;7.62639E-11;1.35789E-06;0.0001382;9.42547E-07;9.99089E-12;1.12343E-13;1.15504E-06;1.27477E-07;0.109861;0.0000134;0.0007748;0.0974654;0.0039383;3.03321;0.0000283;0.0090978;0.0000643;5.31407E-08;0.259002;0.0000988;0.0021349;0.0086359;0.0000236;0.211547;0.0047707;0.00002;1.28789E-15;0.0133851;0.0000305;0.001087;9.31796E-07;9.84239E-06;0.0132139;0.0001037;0.0001393;0.0001089;1.7555E-08;6.09209E-12;1.14999E-13;9.89669E-11;0.000155;6.58917E-14;1.10956E-06;2.52446E-12;1.71804E-08;1.61178E-12;1.75979E-06;1.10205E-13;9.67748E-12;4.92102E-12;4.46708E-06;1.01366E-09;1.25728E-10;7.74815E-09;0.0004128;2.88824E-14;1.88287E-08;5.63831E-14;7.41932E-10;4.23447E-14;1.32155E-14;5.91535E-12;1.58144E-12;9.50868E-14;4.84198E-12;1.95444E-12;2.59037E-09;9.47633E-08;0.0008481;0.0002695;3.3616E-06;0.137951
1.15;3608.62;0.893733;9.83891;-527.6;-1470.48;37.2911;1.79481;1.18862;6.5226;1.1655;0.0005165;0.0004931;9.28788E-07;20.1579;412.462;1.88316;1.28045;5.75183;1.2032;0.0000906;0.35626;1.94218;0.478943;0.268336;1069.44;0.309474;0.0418841;0.158177;0.0203136;3.40443;6.90286;0.556627;0.0000737;2.33716;7.30829E-06;0.208948;0.0000283;0.0001308;1.59886E-09;2.06062E-10;0.646646;0.0000367;0.0018089;8.24239;4.15711E-09;0.0886527;6.61616E-06;9.8683E-06;2.10427E-13;0.0010567;0.0001928;0.0000854;2.19533E-08;1.57812E-12;1.19117E-09;0.0000711;8.30222E-07;1.18972E-11;1.8511E-09;1.73341E-15;9.04038E-07;5.75098E-12;7.39977E-07;3.53124E-11;1.27433E-14;10.3986;0.414874;4.78577E-08;1.23635E-11;2.20139E-07;1.83274E-07;2.01211E-07;3.21219E-08;8.87691E-10;3.11539E-09;4.52547E-12;3.46079E-13;4.78199E-16;3.9335E-13;0.0005374;0.000033;0.0000103;2.8303E-06;2.96803E-10;2.18403E-13;1.78707E-15;5.39297E-08;4.06357E-11;3.14325E-15;1.41774E-12;1.05136E-14;8.67965E-06;5.28219E-10;4.04916E-09;2.66201E-09;1.31833E-10;1.35998E-11;3.35007E-13;1.06415E-15;1.09226E-11;4.51717E-15;1.70472E-07;0.0000118;5.50667E-08;8.5338E-11;1.02296E-10;1.53888E-06;0.0001596;1.12097E-06;1.37822E-11;1.69556E-13;1.37478E-06;1.50314E-07;0.106926;0.0000142;0.0007688;0.0966998;0.0039091;3.03521;0.0000288;0.0093942;0.0000714;6.31547E-08;0.261444;0.0001035;0.0021726;0.0092272;0.0000266;0.211025;0.0050055;0.0000219;1.76143E-15;0.0134051;0.0000327;0.001173;1.0778E-06;0.0000111;0.0140007;0.0001156;0.000154;0.0001162;2.0466E-08;7.97838E-12;1.56298E-13;1.04573E-10;0.0001483;7.25725E-14;1.12015E-06;2.70851E-12;1.76648E-08;1.8157E-12;1.83957E-06;1.3262E-13;1.16601E-11;5.54277E-12;4.63652E-06;1.0965E-09;1.44172E-10;8.92896E-09;0.0004115;3.46487E-14;2.00622E-08;6.29566E-14;7.97254E-10;4.68256E-14;1.61668E-14;7.59106E-12;1.86679E-12;1.23805E-13;5.64821E-12;2.26961E-12;3.02173E-09;1.09316E-07;0.0008395;0.0002687;3.38494E-06;0.134465
1.3;3625.3;0.792824;9.80402;-527.6;-1473.51;37.231;1.79532;1.18815;6.38723;1.16506;0.0005083;0.0004858;8.20746E-07;20.1885;411.836;1.88398;1.27975;5.63089;1.20361;0.0000909;0.357188;1.9031;0.479375;0.268912;1071.23;0.309678;0.0418327;0.151184;0.0194219;3.32138;6.93173;0.548319;0.0000752;2.34971;7.77969E-06;0.204129;0.0000294;0.0001324;1.68607E-09;2.2548E-10;0.650719;0.0000385;0.0018309;8.2427;4.74162E-09;0.0878929;6.77353E-06;0.0000104;2.4118E-13;0.0011158;0.0002122;0.0000966;2.5893E-08;2.07496E-12;1.41772E-09;0.0000755;8.91338E-07;1.31971E-11;2.20531E-09;2.14894E-15;9.68757E-07;6.37738E-12;8.09241E-07;4.3544E-11;1.74005E-14;10.3991;0.414227;5.66278E-08;1.58849E-11;2.51956E-07;2.16321E-07;2.4411E-07;4.03268E-08;1.11728E-09;3.98962E-09;6.19792E-12;4.9024E-13;7.27936E-16;5.50436E-13;0.0005867;0.0000361;0.0000117;3.22589E-06;3.6742E-10;2.88078E-13;2.54425E-15;6.12291E-08;4.84627E-11;3.98243E-15;1.80106E-12;1.38828E-14;9.55864E-06;6.12944E-10;4.80824E-09;3.27219E-09;1.67703E-10;1.69095E-11;4.33078E-13;1.41015E-15;1.41964E-11;6.48668E-15;1.95895E-07;0.0000132;6.51012E-08;1.08318E-10;1.32393E-10;1.7166E-06;0.0001811;1.30497E-06;1.82766E-11;2.43459E-13;1.60154E-06;1.73691E-07;0.104323;0.0000149;0.0007626;0.0959309;0.003879;3.03721;0.0000292;0.0096549;0.0000782;7.34289E-08;0.263417;0.0001078;0.002204;0.0097721;0.0000295;0.210473;0.0052198;0.0000237;2.3187E-15;0.0134141;0.0000347;0.0012534;1.22404E-06;0.0000123;0.0147222;0.0001271;0.0001681;0.0001229;2.33899E-08;1.01016E-11;2.04404E-13;1.09518E-10;0.0001426;7.88203E-14;1.12756E-06;2.87505E-12;1.80636E-08;2.01268E-12;1.91018E-06;1.55782E-13;1.37199E-11;6.14223E-12;4.78407E-06;1.17253E-09;1.62375E-10;1.01064E-08;0.00041;4.0589E-14;2.11854E-08;6.92293E-14;8.4763E-10;5.10314E-14;1.92625E-14;9.44712E-12;2.15588E-12;1.55908E-13;6.45751E-12;2.58428E-12;3.45706E-09;1.23826E-07;0.0008314;0.0002675;3.39972E-06;0.131343
