t, s,liquid,p512,sp33,ntm2
,p512,sp33,ntm2,liquid
0.10,1872.21,273.00,273.00,273.00
0.20,2009.93,273.00,273.00,273.00
0.30,2011.70,273.00,273.00,273.00
0.40,2010.48,273.00,273.00,273.00
0.50,2031.15,273.00,273.00,273.00
0.60,2041.78,273.00,273.00,273.00
0.70,2046.08,273.00,273.00,273.00
0.80,2057.00,273.00,273.00,273.00
0.90,2066.12,273.00,273.00,273.00
1.00,2072.62,273.00,273.00,273.00
1.10,2078.15,273.00,273.00,273.00
1.20,2085.27,273.00,273.00,273.00
1.30,2091.20,273.00,273.00,273.00
1.40,2096.32,273.00,273.00,273.00
1.50,2100.85,273.00,273.00,273.00
1.60,2105.66,273.00,273.00,273.00
1.70,2110.18,273.00,273.00,273.00
1.80,2114.38,273.00,273.00,273.00
1.90,2118.05,273.00,273.00,273.00
2.00,2121.68,273.00,273.00,273.00
2.10,2125.14,273.00,273.00,273.00
2.20,2128.50,273.00,273.00,273.00
2.30,2131.68,273.00,273.00,273.00
2.40,2134.54,273.00,273.00,273.00
2.50,2137.26,273.00,273.00,273.00
2.60,2139.90,273.00,273.00,273.00
2.70,2142.49,273.00,273.00,273.00
2.80,2144.99,273.00,273.00,273.00
2.90,2147.31,273.00,273.00,273.00
3.00,2149.49,273.00,273.00,273.00
3.10,2151.59,273.00,273.00,273.00
3.20,2153.65,273.00,273.00,273.00
3.30,2155.66,273.00,273.00,273.00
3.40,2157.62,273.00,273.00,273.00
3.50,2159.47,273.00,273.00,273.00
3.60,2161.20,273.00,273.00,273.00
3.70,2162.87,273.00,273.00,273.00
3.80,2164.49,273.00,273.00,273.00
3.90,2166.09,273.00,273.00,273.00
4.00,2167.65,273.00,273.00,273.00
4.10,2169.16,273.00,273.00,273.00
4.20,2170.59,273.00,273.00,273.00
4.30,2171.96,273.01,273.00,273.00
4.40,2173.28,273.01,273.00,273.00
4.50,2174.58,273.01,273.00,273.00
4.60,2175.86,273.01,273.00,273.00
4.70,2177.10,273.01,273.00,273.00
4.80,2178.31,273.01,273.00,273.00
4.90,2179.48,273.01,273.00,273.00
5.00,2180.59,273.02,273.00,273.00
5.10,2181.68,273.02,273.00,273.00
5.20,2182.74,273.02,273.00,273.00
5.30,2183.78,273.03,273.01,273.00
5.40,2184.80,273.03,273.01,273.00
5.50,2185.80,273.03,273.01,273.00
5.60,2186.78,273.04,273.01,273.00
5.70,2187.72,273.04,273.01,273.00
5.80,2188.63,273.05,273.01,273.00
5.90,2189.51,273.05,273.01,273.00
6.00,2190.38,273.06,273.02,273.00
6.10,2191.24,273.06,273.02,273.00
6.20,2192.07,273.07,273.02,273.00
6.30,2192.90,273.08,273.02,273.00
6.40,2193.70,273.09,273.03,273.00
6.50,2194.48,273.10,273.03,273.00
6.60,2195.24,273.11,273.03,273.00
6.70,2195.99,273.12,273.04,273.00
6.80,2196.71,273.13,273.04,273.00
6.90,2197.43,273.14,273.05,273.00
7.00,2198.13,273.15,273.05,273.00
7.10,2198.82,273.17,273.06,273.00
7.20,2199.50,273.18,273.06,273.00
7.30,2200.17,273.20,273.07,273.00
7.40,2200.82,273.21,273.07,273.00
7.50,2201.45,273.23,273.08,273.00
7.60,2202.07,273.25,273.09,273.00
7.70,2202.68,273.27,273.10,273.00
7.80,2203.28,273.29,273.11,273.00
7.90,2203.87,273.31,273.12,273.00
8.00,2204.45,273.33,273.13,273.00
8.10,2205.02,273.35,273.14,273.00
8.20,2205.59,273.38,273.15,273.00
8.30,2206.14,273.40,273.16,273.00
8.40,2206.68,273.43,273.18,273.00
8.50,2207.21,273.46,273.19,273.00
8.60,2207.73,273.49,273.20,273.00
8.70,2208.24,273.52,273.22,273.00
8.80,2208.75,273.55,273.24,273.00
8.90,2209.24,273.58,273.25,273.00
9.00,2209.73,273.62,273.27,273.00
9.10,2210.21,273.65,273.29,273.00
9.20,2210.69,273.69,273.31,273.00
9.30,2211.16,273.73,273.33,273.00
9.40,2211.62,273.77,273.35,273.00
9.50,2212.07,273.81,273.38,273.00
9.60,2212.51,273.85,273.40,273.00
9.70,2212.95,273.90,273.43,273.00
9.80,2213.38,273.95,273.45,273.00
9.90,2213.81,273.99,273.48,273.00
10.00,2214.23,274.04,273.51,273.00
10.10,2214.64,274.09,273.54,273.00
10.20,2215.05,274.15,273.57,273.00
10.30,2215.45,274.20,273.60,273.00
10.40,2215.85,274.26,273.64,273.00
10.50,2216.24,274.32,273.67,273.00
10.60,2216.62,274.38,273.71,273.00
10.70,2217.00,274.44,273.74,273.00
10.80,2217.38,274.50,273.78,273.00
10.90,2217.75,274.57,273.82,273.00
11.00,2218.11,274.63,273.87,273.00
11.10,2218.47,274.70,273.91,273.00
11.20,2218.83,274.77,273.95,273.00
11.30,2219.18,274.85,274.00,273.00
11.40,2219.53,274.92,274.05,273.00
11.50,2219.87,275.00,274.10,273.00
11.60,2220.21,275.07,274.15,273.00
11.70,2220.54,275.15,274.20,273.00
11.80,2220.87,275.24,274.25,273.00
11.90,2221.20,275.32,274.31,273.00
12.00,2221.52,275.41,274.37,273.00
12.10,2221.83,275.49,274.43,273.00
12.20,2222.15,275.59,274.49,273.00
12.30,2222.46,275.68,274.55,273.00
12.40,2222.76,275.77,274.61,273.00
12.50,2223.07,275.87,274.68,273.00
12.60,2223.37,275.97,274.75,273.00
12.70,2223.66,276.07,274.82,273.00
12.80,2223.96,276.17,274.89,273.00
12.90,2224.25,276.27,274.96,273.00
13.00,2224.53,276.38,275.03,273.00
13.10,2224.81,276.49,275.11,273.00
13.20,2225.09,276.60,275.19,273.00
13.30,2225.37,276.72,275.27,273.00
13.40,2225.64,276.83,275.35,273.00
13.50,2225.91,276.95,275.44,273.00
13.60,2226.18,277.07,275.52,273.00
13.70,2226.45,277.19,275.61,273.01
13.80,2226.71,277.32,275.70,273.01
13.90,2226.97,277.44,275.79,273.01
14.00,2227.22,277.57,275.89,273.01
14.10,2227.48,277.70,275.98,273.01
14.20,2227.73,277.84,276.08,273.01
14.30,2227.98,277.97,276.18,273.01
14.40,2228.22,278.11,276.28,273.01
14.50,2228.46,278.25,276.39,273.01
14.60,2228.71,278.39,276.49,273.01
14.70,2228.94,278.54,276.60,273.01
14.80,2229.18,278.69,276.71,273.01
14.90,2229.41,278.84,276.82,273.01
15.00,2229.65,278.99,276.94,273.01
15.10,2229.88,279.14,277.06,273.01
15.20,2230.10,279.30,277.17,273.01
15.30,2230.33,279.46,277.30,273.02
15.40,2230.55,279.62,277.42,273.02
15.50,2230.77,279.79,277.54,273.02
15.60,2230.99,279.95,277.67,273.02
15.70,2231.21,280.12,277.80,273.02
15.80,2231.42,280.29,277.93,273.02
15.90,2231.63,280.47,278.07,273.02
16.00,2231.84,280.64,278.21,273.02
16.10,2232.05,280.82,278.34,273.02
16.20,2232.26,281.00,278.49,273.03
16.30,2232.46,281.19,278.63,273.03
16.40,2232.67,281.37,278.77,273.03
16.50,2232.87,281.56,278.92,273.03
16.60,2233.07,281.75,279.07,273.03
16.70,2233.27,281.95,279.22,273.03
16.80,2233.46,282.14,279.38,273.04
16.90,2233.66,282.34,279.54,273.04
17.00,2233.85,282.54,279.70,273.04
17.10,2234.04,282.75,279.86,273.04
17.20,2234.23,282.95,280.02,273.05
17.30,2234.42,283.16,280.19,273.05
17.40,2234.60,283.37,280.36,273.05
17.50,2234.79,283.58,280.53,273.05
17.60,2234.97,283.80,280.70,273.05
17.70,2235.15,284.02,280.88,273.06
17.80,2235.33,284.24,281.06,273.06
17.90,2235.51,284.46,281.24,273.06
18.00,2235.69,284.69,281.42,273.07
18.10,2235.86,284.92,281.60,273.07
18.20,2236.04,285.15,281.79,273.07
18.30,2236.21,285.39,281.98,273.08
18.40,2236.38,285.62,282.18,273.08
18.50,2236.55,285.86,282.37,273.08
18.60,2236.72,286.10,282.57,273.09
18.70,2236.88,286.35,282.77,273.09
18.80,2237.05,286.59,282.97,273.10
18.90,2237.22,286.84,283.18,273.10
19.00,2237.38,287.10,283.38,273.10
19.10,2237.54,287.35,283.59,273.11
19.20,2237.70,287.61,283.80,273.11
19.30,2237.86,287.87,284.02,273.12
19.40,2238.02,288.13,284.24,273.12
19.50,2238.18,288.40,284.46,273.13
19.60,2238.33,288.66,284.68,273.13
19.70,2238.49,288.93,284.90,273.14
19.80,2238.64,289.21,285.13,273.14
19.90,2238.79,289.48,285.36,273.15
20.00,2238.94,289.76,285.59,273.16
20.10,2239.09,290.04,285.83,273.16
20.20,2239.24,290.32,286.06,273.17
20.30,2239.39,290.61,286.30,273.18
20.40,2239.54,290.90,286.54,273.18
20.50,2239.68,291.19,286.79,273.19
20.60,2239.83,291.48,287.04,273.20
20.70,2239.97,291.78,287.29,273.20
20.80,2240.12,292.08,287.54,273.21
20.90,2240.26,292.38,287.79,273.22
21.00,2240.40,292.69,288.05,273.23
21.10,2240.54,292.99,288.31,273.24
21.20,2240.68,293.30,288.57,273.24
21.30,2240.82,293.62,288.84,273.25
21.40,2240.95,293.93,289.10,273.26
21.50,2241.09,294.25,289.37,273.27
21.60,2241.22,294.57,289.64,273.28
21.70,2241.36,294.89,289.92,273.29
21.80,2241.49,295.22,290.20,273.30
21.90,2241.62,295.55,290.48,273.31
22.00,2241.75,295.88,290.76,273.32
22.10,2241.88,296.21,291.04,273.33
22.20,2242.01,296.55,291.33,273.34
22.30,2242.14,296.89,291.62,273.35
22.40,2242.27,297.23,291.91,273.37
22.50,2242.40,297.57,292.21,273.38
22.60,2242.52,297.92,292.51,273.39
22.70,2242.65,298.27,292.81,273.40
22.80,2242.77,298.62,293.11,273.41
22.90,2242.90,298.98,293.42,273.43
23.00,2243.02,299.33,293.72,273.44
23.10,2243.14,299.69,294.03,273.45
23.20,2243.26,300.06,294.35,273.47
23.30,2243.38,300.42,294.66,273.48
23.40,2243.50,300.79,294.98,273.50
23.50,2243.62,301.16,295.30,273.51
23.60,2243.74,301.53,295.62,273.53
23.70,2243.86,301.91,295.95,273.54
23.80,2243.97,302.29,296.28,273.56
23.90,2244.09,302.67,296.61,273.58
24.00,2244.21,303.06,296.94,273.59
24.10,2244.32,303.44,297.28,273.61
24.20,2244.43,303.83,297.62,273.63
24.30,2244.55,304.23,297.96,273.65
24.40,2244.66,304.62,298.30,273.66
24.50,2244.77,305.02,298.65,273.68
24.60,2244.88,305.42,299.00,273.70
24.70,2244.99,305.83,299.35,273.72
24.80,2245.10,306.23,299.70,273.74
24.90,2245.21,306.64,300.06,273.76
25.00,2245.32,307.05,300.42,273.78
25.10,2245.43,307.47,300.78,273.80
25.20,2245.53,307.89,301.15,273.83
25.30,2245.64,308.31,301.52,273.85
25.40,2245.75,308.73,301.89,273.87
25.50,2245.85,309.16,302.26,273.89
25.60,2245.96,309.59,302.64,273.92
25.70,2246.06,310.02,303.02,273.94
25.80,2246.16,310.46,303.40,273.96
25.90,2246.27,310.89,303.79,273.99
26.00,2246.37,311.33,304.18,274.01
26.10,2246.47,311.78,304.57,274.04
26.20,2246.57,312.23,304.96,274.06
26.30,2246.67,312.68,305.36,274.09
26.40,2246.77,313.13,305.76,274.12
26.50,2246.87,313.58,306.16,274.15
26.60,2246.97,314.04,306.56,274.17
26.70,2247.07,314.50,306.97,274.20
26.80,2247.17,314.97,307.38,274.23
26.90,2247.26,315.43,307.80,274.26
27.00,2247.36,315.91,308.21,274.29
27.10,2247.46,316.38,308.63,274.32
27.20,2247.55,316.85,309.06,274.35
27.30,2247.65,317.33,309.48,274.38
27.40,2247.74,317.82,309.91,274.42
27.50,2247.83,318.30,310.34,274.45
27.60,2247.93,318.79,310.77,274.48
27.70,2248.02,319.28,311.21,274.52
27.80,2248.11,319.77,311.65,274.55
27.90,2248.21,320.27,312.09,274.59
28.00,2248.30,320.77,312.54,274.62
28.10,2248.39,321.27,312.99,274.66
28.20,2248.48,321.78,313.44,274.69
28.30,2248.57,322.29,313.89,274.73
28.40,2248.66,322.80,314.35,274.77
28.50,2248.75,323.31,314.81,274.81
28.60,2248.83,323.83,315.27,274.85
28.70,2248.92,324.35,315.73,274.89
28.80,2249.01,324.87,316.20,274.93
28.90,2249.10,325.40,316.67,274.97
29.00,2249.18,325.93,317.15,275.01
29.10,2249.27,326.46,317.63,275.05
29.20,2249.36,327.00,318.11,275.09
29.30,2249.44,327.54,318.59,275.14
29.40,2249.53,328.08,319.08,275.18
29.50,2249.61,328.62,319.56,275.23
29.60,2249.69,329.17,320.06,275.27
29.70,2249.78,329.72,320.55,275.32
29.80,2249.86,330.28,321.05,275.36
29.90,2249.94,330.83,321.55,275.41
30.00,2250.03,331.39,322.05,275.46
30.10,2250.11,331.96,322.56,275.51
30.20,2250.19,332.52,323.07,275.56
30.30,2250.27,333.09,323.58,275.61
30.40,2250.35,333.66,324.10,275.66
30.50,2250.43,334.24,324.61,275.71
30.60,2250.51,334.82,325.14,275.76
30.70,2250.59,335.40,325.66,275.82
30.80,2250.67,335.98,326.19,275.87
30.90,2250.75,336.57,326.72,275.93
31.00,2250.83,337.16,327.25,275.98
31.10,2250.90,337.75,327.79,276.04
31.20,2250.98,338.35,328.33,276.09
31.30,2251.06,338.95,328.87,276.15
31.40,2251.13,339.55,329.41,276.21
31.50,2251.21,340.16,329.96,276.27
31.60,2251.29,340.76,330.51,276.33
31.70,2251.36,341.38,331.07,276.39
31.80,2251.44,341.99,331.62,276.45
31.90,2251.51,342.61,332.18,276.51
32.00,2251.59,343.23,332.75,276.58
32.10,2251.66,343.85,333.31,276.64
32.20,2251.73,344.48,333.88,276.70
32.30,2251.81,345.11,334.45,276.77
32.40,2251.88,345.74,335.03,276.84
32.50,2251.95,346.38,335.61,276.90
32.60,2252.03,347.02,336.19,276.97
32.70,2252.10,347.66,336.77,277.04
32.80,2252.17,348.31,337.36,277.11
32.90,2252.24,348.96,337.95,277.18
33.00,2252.31,349.61,338.54,277.25
33.10,2252.38,350.27,339.14,277.32
33.20,2252.45,350.92,339.74,277.40
33.30,2252.52,351.59,340.34,277.47
33.40,2252.59,352.25,340.95,277.55
33.50,2252.66,352.92,341.55,277.62
33.60,2252.73,353.59,342.17,277.70
33.70,2252.80,354.26,342.78,277.78
33.80,2252.87,354.94,343.40,277.86
33.90,2252.94,355.62,344.02,277.93
34.00,2253.00,356.30,344.64,278.01
34.10,2253.07,356.99,345.27,278.10
34.20,2253.14,357.68,345.90,278.18
34.30,2253.21,358.37,346.53,278.26
34.40,2253.27,359.07,347.17,278.35
34.50,2253.34,359.77,347.81,278.43
34.60,2253.40,360.47,348.45,278.52
34.70,2253.47,361.18,349.09,278.60
34.80,2253.53,361.89,349.74,278.69
34.90,2253.60,362.60,350.39,278.78
35.00,2253.66,363.31,351.05,278.87
35.10,2253.73,364.03,351.71,278.96
35.20,2253.79,364.75,352.37,279.05
35.30,2253.86,365.48,353.03,279.14
35.40,2253.92,366.20,353.70,279.24
35.50,2253.98,366.94,354.37,279.33
35.60,2254.05,367.67,355.04,279.43
35.70,2254.11,368.41,355.72,279.53
35.80,2254.17,369.15,356.40,279.62
35.90,2254.23,369.89,357.08,279.72
36.00,2254.30,370.64,357.76,279.82
36.10,2254.36,371.39,358.45,279.92
36.20,2254.42,372.14,359.14,280.03
36.30,2254.48,372.90,359.84,280.13
36.40,2254.54,373.66,360.54,280.23
36.50,2254.60,374.42,361.24,280.34
36.60,2254.66,375.19,361.94,280.44
36.70,2254.72,375.96,362.65,280.55
36.80,2254.78,376.73,363.36,280.66
36.90,2254.84,377.51,364.07,280.77
37.00,2254.90,378.29,364.79,280.88
37.10,2254.96,379.07,365.51,280.99
37.20,2255.02,379.85,366.23,281.10
37.30,2255.08,380.64,366.96,281.22
37.40,2255.14,381.43,367.69,281.33
37.50,2255.19,382.23,368.42,281.45
37.60,2255.25,383.03,369.15,281.56
37.70,2255.31,383.83,369.89,281.68
37.80,2255.37,384.63,370.64,281.80
37.90,2255.42,385.44,371.38,281.92
38.00,2255.48,386.25,372.13,282.04
38.10,2255.54,387.07,372.88,282.17
38.20,2255.59,387.89,373.63,282.29
38.30,2255.65,388.71,374.39,282.42
38.40,2255.70,389.53,375.15,282.54
38.50,2255.76,390.36,375.92,282.67
38.60,2255.82,391.19,376.68,282.80
38.70,2255.87,392.02,377.45,282.93
38.80,2255.93,392.86,378.23,283.06
38.90,2255.98,393.70,379.00,283.19
39.00,2256.03,394.55,379.78,283.33
39.10,2256.09,395.39,380.57,283.46
39.20,2256.14,396.24,381.35,283.60
39.30,2256.20,397.10,382.14,283.73
39.40,2256.25,397.96,382.93,283.87
39.50,2256.30,398.82,383.73,284.01
39.60,2256.36,399.68,384.53,284.15
39.70,2256.41,400.55,385.33,284.29
39.80,2256.46,401.42,386.14,284.44
39.90,2256.52,402.29,386.95,284.58
40.00,2256.57,403.17,387.76,284.73
40.10,2256.62,404.05,388.57,284.87
40.20,2256.67,404.93,389.39,285.02
40.30,2256.72,405.82,390.21,285.17
40.40,2256.77,406.71,391.04,285.32
40.50,2256.83,407.60,391.86,285.47
40.60,2256.88,408.50,392.70,285.63
40.70,2256.93,409.40,393.53,285.78
40.80,2256.98,410.30,394.37,285.94
40.90,2257.03,411.21,395.21,286.09
41.00,2257.08,412.12,396.05,286.25
41.10,2257.13,413.04,396.90,286.41
41.20,2257.18,413.95,397.75,286.57
41.30,2257.23,414.87,398.60,286.74
41.40,2257.28,415.80,399.46,286.90
41.50,2257.33,416.73,400.32,287.07
41.60,2257.38,417.66,401.18,287.23
41.70,2257.42,418.59,402.05,287.40
41.80,2257.47,419.53,402.92,287.57
41.90,2257.52,420.47,403.79,287.74
42.00,2257.57,421.41,404.67,287.91
42.10,2257.62,422.36,405.54,288.08
42.20,2257.67,423.31,406.43,288.26
42.30,2257.71,424.27,407.31,288.43
42.40,2257.76,425.22,408.20,288.61
42.50,2257.81,426.18,409.09,288.79
42.60,2257.86,427.15,409.98,288.97
42.70,2257.90,428.11,410.88,289.15
42.80,2257.95,429.09,411.78,289.34
42.90,2258.00,430.06,412.68,289.52
43.00,2258.04,431.04,413.59,289.71
43.10,2258.09,432.02,414.50,289.89
43.20,2258.13,433.00,415.41,290.08
43.30,2258.18,433.99,416.33,290.27
43.40,2258.23,434.98,417.25,290.46
43.50,2258.27,435.97,418.17,290.66
43.60,2258.32,436.97,419.10,290.85
43.70,2258.36,437.97,420.02,291.05
43.80,2258.41,438.98,420.96,291.24
43.90,2258.45,439.98,421.89,291.44
44.00,2258.50,441.00,422.83,291.64
44.10,2258.54,442.01,423.77,291.84
44.20,2258.58,443.03,424.72,292.05
44.30,2258.63,444.05,425.67,292.25
44.40,2258.67,445.07,426.62,292.46
44.50,2258.72,446.10,427.57,292.66
44.60,2258.76,447.13,428.53,292.87
44.70,2258.80,448.17,429.49,293.08
44.80,2258.85,449.20,430.45,293.29
44.90,2258.89,450.25,431.42,293.51
45.00,2258.93,451.29,432.39,293.72
45.10,2258.98,452.34,433.37,293.94
45.20,2259.02,453.39,434.34,294.16
45.30,2259.06,454.44,435.32,294.38
45.40,2259.10,455.50,436.31,294.60
45.50,2259.15,456.56,437.29,294.82
45.60,2259.19,457.63,438.28,295.04
45.70,2259.23,458.70,439.28,295.27
45.80,2259.27,459.77,440.27,295.50
45.90,2259.31,460.85,441.27,295.73
46.00,2259.35,461.93,442.28,295.96
46.10,2259.39,463.01,443.28,296.19
46.20,2259.44,464.09,444.29,296.42
46.30,2259.48,465.18,445.31,296.66
46.40,2259.52,466.28,446.32,296.89
46.50,2259.56,467.37,447.34,297.13
46.60,2259.60,468.47,448.36,297.37
46.70,2259.64,469.57,449.39,297.61
46.80,2259.68,470.68,450.42,297.85
46.90,2259.72,471.79,451.45,298.10
47.00,2259.76,472.90,452.49,298.34
47.10,2259.80,474.02,453.53,298.59
47.20,2259.84,475.14,454.57,298.84
47.30,2259.88,476.26,455.62,299.09
47.40,2259.92,477.39,456.66,299.34
47.50,2259.96,478.52,457.72,299.60
47.60,2260.00,479.65,458.77,299.85
47.70,2260.03,480.79,459.83,300.11
47.80,2260.07,481.93,460.89,300.37
47.90,2260.11,483.08,461.96,300.63
48.00,2260.15,484.22,463.03,300.89
48.10,2260.19,485.38,464.10,301.16
48.20,2260.23,486.53,465.17,301.42
48.30,2260.26,487.69,466.25,301.69
48.40,2260.30,488.85,467.34,301.96
48.50,2260.34,490.02,468.42,302.23
48.60,2260.38,491.18,469.51,302.50
48.70,2260.41,492.36,470.60,302.78
48.80,2260.45,493.53,471.70,303.06
48.90,2260.49,494.71,472.80,303.33
49.00,2260.53,495.89,473.90,303.61
49.10,2260.56,497.08,475.00,303.89
49.20,2260.60,498.27,476.11,304.18
49.30,2260.64,499.46,477.22,304.46
49.40,2260.67,500.66,478.34,304.75
49.50,2260.71,501.86,479.46,305.04
49.60,2260.75,503.06,480.58,305.33
49.70,2260.78,504.27,481.70,305.62
49.80,2260.82,505.48,482.83,305.92
49.90,2260.85,506.69,483.96,306.21
50.00,2260.89,507.91,485.10,306.51
50.10,2260.93,509.13,486.24,306.81
50.20,2260.96,510.35,487.38,307.11
50.30,2261.00,511.58,488.52,307.41
50.40,2261.03,512.81,489.67,307.72
50.50,2261.07,514.04,490.82,308.03
50.60,2261.10,515.28,491.98,308.34
50.70,2261.14,516.53,493.14,308.65
50.80,2261.17,517.77,494.30,308.96
50.90,2261.21,519.02,495.47,309.27
51.00,2261.24,520.27,496.63,309.59
51.10,2261.27,521.53,497.81,309.91
51.20,2261.31,522.79,498.98,310.23
51.30,2261.34,524.05,500.16,310.55
51.40,2261.38,525.32,501.34,310.87
51.50,2261.41,526.59,502.53,311.20
51.60,2261.45,527.86,503.72,311.53
51.70,2261.48,529.14,504.91,311.86
51.80,2261.51,530.42,506.10,312.19
51.90,2261.55,531.70,507.30,312.52
52.00,2261.58,532.98,508.50,312.86
52.10,2261.61,534.27,509.71,313.20
52.20,2261.65,535.57,510.92,313.53
52.30,2261.68,536.86,512.13,313.88
52.40,2261.71,538.16,513.34,314.22
52.50,2261.74,539.46,514.56,314.56
52.60,2261.78,540.77,515.78,314.91
52.70,2261.81,542.08,517.01,315.26
52.80,2261.84,543.39,518.24,315.61
52.90,2261.87,544.71,519.47,315.96
53.00,2261.91,546.03,520.70,316.32
53.10,2261.94,547.36,521.94,316.68
53.20,2261.97,548.69,523.18,317.04
53.30,2262.00,550.02,524.43,317.40
53.40,2262.03,551.36,525.68,317.76
53.50,2262.06,552.70,526.93,318.13
53.60,2262.10,554.04,528.18,318.49
53.70,2262.13,555.38,529.44,318.86
53.80,2262.16,556.73,530.70,319.23
53.90,2262.19,558.09,531.97,319.61
54.00,2262.22,559.44,533.24,319.98
54.10,2262.25,560.80,534.51,320.36
54.20,2262.28,562.17,535.78,320.74
54.30,2262.31,563.53,537.06,321.12
54.40,2262.34,564.90,538.34,321.50
54.50,2262.37,566.28,539.63,321.89
54.60,2262.41,567.65,540.92,322.28
54.70,2262.44,569.03,542.21,322.67
54.80,2262.47,570.42,543.51,323.06
54.90,2262.50,571.80,544.80,323.45
55.00,2262.53,573.19,546.11,323.85
55.10,2262.56,574.58,547.41,324.25
55.20,2262.59,575.98,548.72,324.65
55.30,2262.62,577.38,550.03,325.05
55.40,2262.64,578.78,551.34,325.45
55.50,2262.67,580.18,552.66,325.86
55.60,2262.70,581.59,553.98,326.27
55.70,2262.73,583.00,555.31,326.68
55.80,2262.76,584.42,556.64,327.09
55.90,2262.79,585.84,557.97,327.51
56.00,2262.82,587.26,559.30,327.92
56.10,2262.85,588.69,560.64,328.34
56.20,2262.88,590.12,561.98,328.76
56.30,2262.91,591.55,563.32,329.19
56.40,2262.94,592.99,564.67,329.61
56.50,2262.96,594.44,566.02,330.04
56.60,2262.99,595.88,567.37,330.47
56.70,2263.02,597.33,568.73,330.90
56.80,2263.05,598.78,570.09,331.34
56.90,2263.08,600.24,571.45,331.77
57.00,2263.10,601.70,572.82,332.21
57.10,2263.13,603.16,574.19,332.65
57.20,2263.16,604.63,575.56,333.10
57.30,2263.19,606.10,576.94,333.54
57.40,2263.22,607.57,578.32,333.99
57.50,2263.24,609.05,579.70,334.44
57.60,2263.27,610.53,581.09,334.89
57.70,2263.30,612.02,582.48,335.35
57.80,2263.32,613.51,583.87,335.80
57.90,2263.35,615.00,585.27,336.26
58.00,2263.38,616.49,586.67,336.72
58.10,2263.41,617.99,588.08,337.19
58.20,2263.43,619.49,589.48,337.65
58.30,2263.46,620.99,590.89,338.12
58.40,2263.49,622.50,592.31,338.59
58.50,2263.51,624.01,593.72,339.06
58.60,2263.54,625.53,595.14,339.54
58.70,2263.57,627.04,596.57,340.01
58.80,2263.59,628.57,598.00,340.49
58.90,2263.62,630.09,599.43,340.98
59.00,2263.64,631.61,600.86,341.46
59.10,2263.67,633.15,602.30,341.95
59.20,2263.70,634.68,603.74,342.43
59.30,2263.72,636.22,605.18,342.92
59.40,2263.75,637.77,606.63,343.42
59.50,2263.77,639.32,608.08,343.91
59.60,2263.80,640.87,609.53,344.41
59.70,2263.82,642.43,610.99,344.91
59.80,2263.85,643.99,612.45,345.41
59.90,2263.88,645.56,613.91,345.92
